,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,Country,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,BBI_wickets,BBI_runs,career_span_yrs
2380,Tabraiz Shamsi,1990-02-18,33,Right hand Bat,Left arm Wrist spin,Bowler,22,SouthAfrica,65,2017-2023,10,4,2.0,0,78,22.2,1,12,0,-20.2,35,30,5,24,6
2381,Nondumiso Shangase,1996-04-05,27,Right hand Bat,Right arm Offbreak,Batting Allrounder,3,SouthAfrica,10,2019-2023,6,4,3.0,0,9,14.77,0,4,0,-11.77,3,6,3,20,4
2386, Lubabalo Lutho Sipamla,1998-05-12,25,Right hand Bat,Right arm Fast medium,Bowler,8,SouthAfrica,9,2019-2021,8,8,8.0,0,5,53.0,0,3,0,-45.0,4,4,2,22,2
2398,Jon-Jon Trevor Smuts,1988-09-21,35,Right hand Bat,Slow Left arm Orthodox,Batting Allrounder,9,SouthAfrica,13,2017-2021,174,45,13.38,0,1,178.0,0,1,0,-164.61,5,8,1,19,4
2406,Dale Willem Steyn,1983-06-27,40,Right hand Bat,Right arm Fast,Bowler,25,SouthAfrica,47,2007-2020,21,5,3.5,0,64,18.35,0,12,0,-14.85,26,19,4,9,13
2421,Chloe-Lesleigh  Tryon,1994-01-25,30,Right hand Bat,Slow Left arm Orthodox,Allrounder,9,SouthAfrica,94,2010-2024,1109,57,20.53,0,32,33.15,0,23,0,-12.61,42,47,4,15,14
2424,Lonwabo Lopsy Tsotsobe,1984-03-07,39,Right hand Bat,Left arm Fast medium,Bowler,8,SouthAfrica,23,2009-2014,2,1,2.0,0,18,30.05,0,1,0,-28.05,15,8,3,16,5
2425,Delmi Tucker,1997-03-05,26,Right hand Bat,Right arm Offbreak,Allrounder,2,SouthAfrica,14,2022-2023,50,15,8.33,0,3,63.66,0,2,0,-55.33,3,11,1,14,1
2441,Dane van Niekerk,1993-05-14,30,Right hand Bat,Legbreak,Allrounder,8,SouthAfrica,86,2009-2021,1877,90,28.01,0,65,20.96,0,25,0,7.04,38,45,4,17,12
2459,Lizaad Buyron Williams,1993-10-01,30,Left hand Bat,Right arm Medium fast,Bowler,6,SouthAfrica,11,2021-2023,6,2,3.0,0,16,23.18,0,2,0,-20.18,4,7,3,35,2
2487,Malmeege Amila Aponso,1993-06-23,30,Right hand Bat,Slow Left arm Orthodox,Bowler,13,SriLanka,3,2018-2018,0,0,0.0,0,4,19.75,0,0,0,-19.75,1,2,2,29,0
2493,Athapaththu Mudiyanselage Chamari Jayangani Kumai Athapaththu,1990-02-09,34,Left hand Bat,Right arm Offbreak,Batting Allrounder,11,SriLanka,122,2009-2023,2651,113,22.65,1,40,29.67,0,33,0,-7.01,36,82,3,17,14
2503,Pathira Vasan Dushmantha Chameera,1992-01-11,32,Right hand Bat,Right arm Fast,Bowler,12,SriLanka,55,2015-2024,101,24,6.73,0,55,28.87,0,11,0,-22.13,18,36,4,17,9
